BIOSAMPLE GOLD ID,BIOSAMPLE NAME,latitude,longitude,_error
Gb0142529,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH13.SO,NA,NA,could not convert string to float: 'NA'
Gb0142530,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH14.SO,NA,NA,could not convert string to float: 'NA'
Gb0142531,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH2.SO,NA,NA,could not convert string to float: 'NA'
Gb0142532,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH20.SO,NA,NA,could not convert string to float: 'NA'
Gb0142533,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH7.SO,NA,NA,could not convert string to float: 'NA'
Gb0142534,Terrestrial soil bacterial communities associated with human hosts from Fiji - W1.HH9.SO,NA,NA,could not convert string to float: 'NA'
Gb0142535,Terrestrial soil bacterial communities associated with human hosts from Fiji - W2.HH13.SO,NA,NA,could not convert string to float: 'NA'
Gb0142536,Terrestrial soil bacterial communities associated with human hosts from Fiji - W2.HH14.SO,NA,NA,could not convert string to float: 'NA'
Gb0142537,Terrestrial soil bacterial communities associated with human hosts from Fiji - W2.HH2.SO,NA,NA,could not convert string to float: 'NA'
Gb0142538,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH15.SO,NA,NA,could not convert string to float: 'NA'
Gb0142539,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH2.SO,NA,NA,could not convert string to float: 'NA'
Gb0142540,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH3.SO,NA,NA,could not convert string to float: 'NA'
Gb0142541,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH36.SO,NA,NA,could not convert string to float: 'NA'
Gb0142542,Terrestrial soil bacterial communities associated with human hosts from Fiji - Wl.HH3B.SO,NA,NA,could not convert string to float: 'NA'
Gb0142543,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH4B.SO,NA,NA,could not convert string to float: 'NA'
Gb0142544,Terrestrial soil bacterial communities associated with human hosts from Fiji - Wl.HH5.SO,NA,NA,could not convert string to float: 'NA'
Gb0142545,Terrestrial soil bacterial communities associated with human hosts from Fiji - WL.HH6.SO,NA,NA,could not convert string to float: 'NA'
Gb0146410,"Forest soil microbial communities from Sarawak, Malaysia - BR",NA,NA,could not convert string to float: 'NA'
Gb0146411,"Forest soil microbial communities from Sarawak, Malaysia - LV",NA,NA,could not convert string to float: 'NA'
Gb0146412,"Forest soil microbial communities from Sarawak, Malaysia - BS",NA,NA,could not convert string to float: 'NA'
Gb0146413,"Forest soil microbial communities from Sarawak, Malaysia - BB",NA,NA,could not convert string to float: 'NA'
Gb0146414,"Forest soil microbial communities from Kyoto, Japan - AS",NA,NA,could not convert string to float: 'NA'
Gb0146415,"Forest soil microbial communities from Sarawak, Malaysia - LR",NA,NA,could not convert string to float: 'NA'
Gb0349513,"Soil microbial communities from dryland in Northern Territory, Australia - ASD.1",NA,NA,could not convert string to float: 'NA'
Gb0349514,"Soil microbial communities from dryland in Northern Territory, Australia - ASD.2",NA,NA,could not convert string to float: 'NA'
Gb0349515,"Soil microbial communities from dryland in Northern Territory, Australia - ASD.3",NA,NA,could not convert string to float: 'NA'
Gb0349516,"Soil microbial communities from dryland in Northern Territory, Australia - ASD.4",NA,NA,could not convert string to float: 'NA'
Gb0349517,"Soil microbial communities from Wombat State Forest, Victoria, Australia - WSF.1",NA,NA,could not convert string to float: 'NA'
Gb0349518,"Soil microbial communities from Wombat State Forest, Victoria, Australia - WSF.2",NA,NA,could not convert string to float: 'NA'
Gb0349519,"Soil microbial communities from Wombat State Forest, Victoria, Australia - WSF.3",NA,NA,could not convert string to float: 'NA'
Gb0349520,"Soil microbial communities from Wombat State Forest, Victoria, Australia - WSF.4",NA,NA,could not convert string to float: 'NA'
Gb0349521,"Soil microbial communities from grassland near Lysterfield, Victoria Australia - DBG.1",NA,NA,could not convert string to float: 'NA'
Gb0349522,"Soil microbial communities from grassland near Lysterfield, Victoria Australia - DBG.2",NA,NA,could not convert string to float: 'NA'
Gb0349523,"Soil microbial communities from grassland near Lysterfield, Victoria Australia - DBG.3",NA,NA,could not convert string to float: 'NA'
Gb0349524,"Soil microbial communities from grassland near Lysterfield, Victoria Australia - DBG.4",NA,NA,could not convert string to float: 'NA'
Gb0349525,"Soil microbial communities from wetland in Clayton, Victoria, Australia - JMR.1",NA,NA,could not convert string to float: 'NA'
Gb0349526,"Soil microbial communities from wetland in Clayton, Victoria, Australia - JMR.2",NA,NA,could not convert string to float: 'NA'
Gb0349527,"Soil microbial communities from wetland in Clayton, Victoria, Australia - JMR.3",NA,NA,could not convert string to float: 'NA'
Gb0349528,"Soil microbial communities from wetland in Clayton, Victoria, Australia - JMR.4",NA,NA,could not convert string to float: 'NA'
